af       : Afrikaans
sq       : Albanian
ar       : Arabic
eu       : Basque
be       : Belarusian
bs       : Bosnian
br       : Breton
bg       : Bulgarian
ca       : Catalan
hr       : Croatian
cs       : Czech
da       : Danish
nl       : Dutch
en       : English
eo       : Esperanto
et       : Estonian
fa       : Farsi
fi       : Finnish
fr       : French
gl       : Galician
de       : German
el       : Greek
he       : Hebrew
hu       : Hungarian
is       : Icelandic
id       : Indonesian
ga       : Irish
it       : Italian
ja       : Japanese
ko       : Korean
ku       : Kurdish
lv       : Latvian
lt       : Lithuanian
lb       : Luxembourgish
mk       : Macedonian
ms       : Malay
mn       : Mongolian
nb       : Norwegian
nn       : NorwegianNynorsk
pl       : Polish
pt       : Portuguese
pt_BR    : PortugueseBR
ro       : Romanian
ru       : Russian
sr       : Serbian
sr@latin : SerbianLatin
zh_CN    : SimpChinese
sk       : Slovak
sl       : Slovenian
es_ES    : Spanish
es       : SpanishInternational
sv       : Swedish
th       : Thai
zh_TW    : TradChinese
tr       : Turkish
uk       : Ukrainian
uz       : Uzbek
cy       : Welsh
